Filename,Subject,Vowel,Word,F0,F1_50,F2_50,F3_50,F4,Duration
subj79_m_pisa_187,subj79,i,pisa,NA,309.8653323703431,2389.0606882050292,3088.830346535234,4255.381538039089,0.04305231817073718
subj79_m_quite_140,subj79,i,quite,NA,223.04712872071943,2635.768848014028,3542.713449671268,4971.3986265194235,0.07552871528784522
subj79_m_quite_255,subj79,i,quite,NA,234.62110731629505,2613.506516421031,3154.1831671185028,4197.087946689215,0.03300050030827606
subj79_m_saca_99,subj79,a,saca,NA,564.6745253085153,1227.697851102444,2347.4920972824957,3976.453058312205,0.05221694351193662
subj79_m_saco_268,subj79,a,saco,NA,691.4992338695225,1352.0835847420776,2708.7302959183194,3795.540880910003,0.04817086355365063
subj79_m_supe_233,subj79,u,supe,NA,370.20354205522693,1217.1931566480002,2786.259304400708,3282.5165558872004,0.02307876652923823
subj79_m_supo_185,subj79,u,supo,NA,398.9021087300749,1238.575344423653,2727.556647885098,3396.0963463601315,0.04087917676170605
subj7_f_saco_85,subj7,a,saco,NA,978.9189647483864,1217.2618300269578,2281.2136037497835,3537.5450664598493,0.09992037679428734
subj80_m_bata_256,subj80,a,bata,NA,682.5128649706094,1431.8530540673864,2584.2897725727553,3765.142106772018,0.0822946238855593
subj80_m_cuco_60,subj80,u,cuco,NA,369.4704599067051,693.4877510688018,2985.4762288242573,3946.142305369155,0.05215004078625895
subj80_m_quita_146,subj80,i,quita,NA,327.5124263606766,2782.5284186395857,3361.81570984138,4259.25784979093,0.08136404676295683
subj80_m_quite_211,subj80,i,quite,NA,242.85071745032965,2128.625264544344,3350.142105390038,3959.6262231602304,0.03959545401224318
subj80_m_quite_389,subj80,i,quite,NA,207.65523799782633,2342.426746876211,3383.8363339014486,4128.59833019395,0.07419914323816101
subj80_m_quito_279,subj80,i,quito,NA,200.430879616478,3206.8155401244244,3696.4388755378286,4832.548666409365,0.0824840199276764
subj80_m_supe_303,subj80,u,supe,NA,347.0747775289713,1357.0437498691224,2502.6422765864136,3890.836661069988,0.04579816624766408
subj81_m_baso_74,subj81,a,baso,NA,505.2940804448319,1169.5759840728354,2710.1793580523163,3687.358839650008,0.11463502406196824
subj81_m_beta_256,subj81,e,beta,NA,346.4918231756236,1997.5815989110451,2914.0294075023307,3526.164197749172,0.11695239593308315
subj81_m_beta_70,subj81,e,beta,NA,351.11178564952553,1950.0820734811537,2724.253156810191,3404.6935143989954,0.10444254922325058
subj81_m_bote_160,subj81,o,bote,NA,573.8330914923814,3027.9052088861717,3301.4865258782424,4971.14038574059,0.12140137408115947
subj81_m_buque_142,subj81,u,buque,NA,409.8473921366282,2871.380109412385,3356.14019676459,4802.070824516873,0.11418535246389185
subj81_m_cuco_189,subj81,u,cuco,NA,402.45756365975654,2234.8231483269715,3329.0180857211953,4360.961466661373,0.04867939646689478
subj81_m_pica_194,subj81,i,pica,NA,310.89110725806313,2123.006022445642,3016.4187995054976,3421.367005725145,0.06372454494567137
subj81_m_pico_128,subj81,i,pico,NA,277.8334919471021,2178.7409730886193,3124.787743884794,3464.729554903555,0.07741064527363051
subj81_m_pisa_110,subj81,i,pisa,NA,248.15222583134712,2185.812394601422,3109.9921674815632,3480.478698479173,0.1178548737307068
subj81_m_pite_183,subj81,i,pite,NA,281.32454664940866,2238.5634550104896,3242.203443449569,3505.3740201779633,0.07484292449629493
subj81_m_pura_131,subj81,u,pura,NA,406.7091711449853,2712.3894399697133,2981.0493524533085,4456.051057052964,0.17244865035763723
subj81_m_pura_202,subj81,u,pura,NA,408.7449456132368,1316.029332195871,2700.4360367497156,3433.42866827266,0.05147219176603812
subj81_m_puso_78,subj81,u,puso,NA,487.2194523048154,2541.361686029167,2932.635048080063,4460.1784019408715,0.11068319484519408
subj81_m_quite_124,subj81,i,quite,NA,242.41149261381784,2361.08192132321,3107.818422282472,3563.0296184991776,0.08488062218553694
subj81_m_supe_114,subj81,u,supe,NA,280.0621821589327,1611.733122997949,3162.672472918403,3927.7340477213,0.05419446829333196
subj81_m_toca_173,subj81,o,toca,NA,594.6468662385121,2859.0253845862057,3255.1909144408955,4671.96817425623,0.08602532833222654
subj81_m_toque_90,subj81,o,toque,NA,604.5723937446417,1351.1416700011011,2970.9277577859434,4408.076097374343,0.09454849350866824
subj81_m_tusa_146,subj81,u,tusa,NA,320.5591658979783,2222.5003049213774,3755.587822681139,4414.110522511827,0.12408643148680198
subj81_m_tusa_276,subj81,u,tusa,NA,382.8345783691077,2729.277112524934,3662.4935429726343,4844.129832903937,0.13735685515672458
subj81_m_voto_156,subj81,o,voto,NA,617.3644505335164,2872.0889407780032,3349.993692015785,4851.473353447663,0.1051036669201153
subj81_m_voto_236,subj81,o,voto,105.07546040502298,511.4490803328661,2984.386390562915,4264.625967781482,NA,0.10067495741353127
subj9_m_toca_138,subj9,o,toca,NA,NA,NA,NA,NA,0.03134801109612795
