Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Randomise questionnaire elements?,Question Key,Response
3,1669950482519,02/12/2022 03:08:02,1669950482200,-6,01/12/2022 21:08:02,92237,21,questionnaire-7e5k,,25622287,BLIND,7588845,,complete,,63896bf9f87fd4ede0eb48ea,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x657,,Consent,6,Block 5-B,soundCheckPassed,No,END QUESTIONNAIRE,11434
1,1669949733014,02/12/2022 02:55:33,1669949732832,-8,01/12/2022 18:55:32,92237,21,questionnaire-7e5k,,25622236,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1440x820,,Consent,6,Block 8-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669949737103,02/12/2022 02:55:37,1669949736969,-8,01/12/2022 18:55:36,92237,21,questionnaire-7e5k,,25622236,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1425x820,,Consent,6,Block 8-B,soundCheckPassed,No,response-1,1
3,1669949737295,02/12/2022 02:55:37,1669949736971,-8,01/12/2022 18:55:36,92237,21,questionnaire-7e5k,,25622236,BLIND,7588838,,complete,,6389691b1b41e30170c30eea,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1425x820,,Consent,6,Block 8-B,soundCheckPassed,No,END QUESTIONNAIRE,4139
1,1669949482358,02/12/2022 02:51:22,1669949479961,-8,01/12/2022 18:51:19,92237,21,questionnaire-7e5k,,25622212,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1920x926,,Consent,6,Block 0-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669949491003,02/12/2022 02:51:31,1669949488643,-8,01/12/2022 18:51:28,92237,21,questionnaire-7e5k,,25622212,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1905x926,,Consent,6,Block 0-B,soundCheckPassed,No,response-1,1
3,1669949491218,02/12/2022 02:51:31,1669949488644,-8,01/12/2022 18:51:28,92237,21,questionnaire-7e5k,,25622212,BLIND,7588834,,complete,,638967ee73aa72148fea0343,computer,Desktop or Laptop,Mac OS 10.14,Firefox 107.0,1920x1080,1905x926,,Consent,6,Block 0-B,soundCheckPassed,No,END QUESTIONNAIRE,8683
1,1669948777052,02/12/2022 02:39:37,1669948776856,-6,01/12/2022 20:39:36,92237,21,questionnaire-7e5k,,25622175,BLIND,7588825,,complete,,63896559069dcef8c5c30f13,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 107.0.0.0,1440x900,1440x789,,Consent,6,Block 4-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669948840708,02/12/2022 02:40:40,1669948840578,-6,01/12/2022 20:40:40,92237,21,questionnaire-7e5k,,25622175,BLIND,7588825,,complete,,63896559069dcef8c5c30f13,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 107.0.0.0,1440x900,1440x789,,Consent,6,Block 4-B,soundCheckPassed,No,response-1,1
3,1669948840895,02/12/2022 02:40:40,1669948840580,-6,01/12/2022 20:40:40,92237,21,questionnaire-7e5k,,25622175,BLIND,7588825,,complete,,63896559069dcef8c5c30f13,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 107.0.0.0,1440x900,1440x789,,Consent,6,Block 4-B,soundCheckPassed,No,END QUESTIONNAIRE,63724
1,1669947811765,02/12/2022 02:23:31,1669947811435,-6,01/12/2022 20:23:31,92237,21,questionnaire-7e5k,,25622080,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1317x637,,Consent,6,Block 3-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669947885111,02/12/2022 02:24:45,1669947884810,-6,01/12/2022 20:24:44,92237,21,questionnaire-7e5k,,25622080,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1317x637,,Consent,6,Block 3-A,soundCheckPassed,No,response-1,1
3,1669947885275,02/12/2022 02:24:45,1669947884813,-6,01/12/2022 20:24:44,92237,21,questionnaire-7e5k,,25622080,BLIND,7588807,,complete,,63896146c272e00b4093d3b5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1317x637,,Consent,6,Block 3-A,soundCheckPassed,No,END QUESTIONNAIRE,73378
1,1669947624589,02/12/2022 02:20:24,1669947625892,-6,01/12/2022 20:20:25,92237,21,questionnaire-7e5k,,25622063,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Consent,6,Block 7-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669947701549,02/12/2022 02:21:41,1669947702876,-6,01/12/2022 20:21:42,92237,21,questionnaire-7e5k,,25622063,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Consent,6,Block 7-B,soundCheckPassed,No,response-1,1
3,1669947701749,02/12/2022 02:21:41,1669947702878,-6,01/12/2022 20:21:42,92237,21,questionnaire-7e5k,,25622063,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Consent,6,Block 7-B,soundCheckPassed,No,END QUESTIONNAIRE,76987
END OF FILE
