Filename,Subject,Vowel,F0,F1_50,F2_50,F3_50,F4,Duration
subj50_f_peca_256,subj50,e,182.4159873646248,544.781735553099,2300.6296333699433,2988.283915378129,4098.003061738557,0.08549644870197426
subj50_f_pica_122,subj50,i,227.699897863499,423.92295548662855,2778.0724344259015,3276.7586118120757,4341.892970670864,0.10179974805508608
subj50_f_pica_292,subj50,i,210.293195231154,375.0023673639023,3039.9626803508854,3521.964453159006,4599.590619240167,0.09131314538660718
subj50_f_pico_243,subj50,i,230.71801009411433,357.08925325317796,2841.3296834032703,3162.4577802421013,4449.727606084664,0.11758165025591438
subj50_f_pico_68,subj50,i,224.3778927211744,332.07160922025673,2753.740034351872,3032.1697181053396,4155.722616200662,0.09753256443130454
subj50_f_pisa_135,subj50,i,209.6225938295375,376.49712107510686,2866.438355419606,3335.713938320178,4415.907692838478,0.11498559622847893
subj50_f_pisa_278,subj50,i,206.7081319563886,375.3329841790596,2882.6849557537453,3312.662001640022,4470.946467584184,0.11227559318268732
subj50_f_pite_303,subj50,i,190.1847552400772,347.69133609648344,2635.389353786315,3179.0520927072657,4360.548478168838,0.06510515816898987
subj50_f_pite_44,subj50,i,231.81606420855297,369.11807328206095,2805.7775025260335,3390.021426474804,4239.651373585794,0.07832470387914015
subj50_f_pura_300,subj50,u,212.13225342160143,233.6575090649377,429.3268299252341,2817.3731649886754,4181.739144136821,0.12550567310250926
subj50_f_pura_54,subj50,u,230.6814054710889,433.9824128989257,679.6114830366377,2636.9247128738125,3913.244767994652,0.11345770405503686
subj50_f_puso_285,subj50,u,206.9094116296526,331.7772084252518,1188.4894351427135,2891.2916023324387,4319.399733655197,0.09085254718416992
subj50_f_puso_81,subj50,u,230.29072463482564,363.7635687761344,870.0127474313904,2817.8543001213457,4321.604664261543,0.11778763389477832
subj50_f_quita_125,subj50,i,214.83757131303005,372.1479292885238,2827.607390068985,3377.8420507611663,4480.155249494022,0.10006219512200688
subj50_f_quita_176,subj50,i,211.7676697815018,371.1040345175182,2906.2275560362577,3352.8403034893595,4599.400464350511,0.0929406147224654
subj50_f_quite_173,subj50,i,171.4399991120766,342.42421986840407,2921.881109914223,3516.6982509459067,4595.841908821425,0.08057977681210104
subj50_f_quite_47,subj50,i,238.6285625029084,371.68921910507464,2890.7968664744326,3410.5405787468767,4784.6475115378735,0.08312586348154127
subj50_f_quito_131,subj50,i,196.1063398799341,248.1681234345583,2500.48393148712,2914.0972408126913,3622.9445846699487,0.0841687813336307
subj50_f_quito_170,subj50,i,103.34435303466168,305.9400368886639,2804.7360887947507,3338.267883663121,4000.965536391336,0.07437011223981926
subj50_f_saca_236,subj50,a,184.55133308048352,869.9988337698602,1634.7665777851569,3331.0881237512685,4374.1939869438465,0.12469779171701134
subj50_f_saca_40,subj50,a,212.24117464334395,912.8471158274456,1621.139077020092,2497.712847402334,3635.497511490253,0.11419269778965456
subj50_f_saco_164,subj50,a,195.80305851461068,845.999774186057,1585.1377530731284,2932.112591079894,4171.019271893394,0.13427984816726737
